,Tweets
0,RT @labourwhips: Key marginal constituencies were targeted during last year’s general election with Facebook adverts - using public money -…
1,"RT @marceelias: 📅Day 20
⏰44 Post-Election Cases.
🇺🇸 6 Total States.
⚖️19 Active Cases.
🏅34 Victories.
https://t.co/XBkKKEmG2Q"
2,"I will celebrate big time if this guy goes down...!!!!! #SorosTheSnake
https://t.co/5O1BnI94c4"
3,RT @realDonaldTrump: The Media is just as corrupt as the Election itself!
4,"RT @CNNPolitics: A group of former Republican national security officials are calling on Republican leaders, particularly those in Congress…"
5,RT @ACTBrigitte: Every sane American knows this election was rigged against President Trump!
6,RT @MSNBC: President Trump and other Republicans have filed over 30 lawsuits across 6 swing states in attempt to contest election results.…
7,Lara Trump Admits Trump Is Trying To Get State Legislatures To Steal The Election https://t.co/ZiRSTmrn5k via @politicususa
8,"@officialaronnc Abe Lincoln would have approved of this article explaining the election dispute, it’s as honest as he was (maybe more so)

https://t.co/5RJIWseyH7"
9,Georgia approves emergency rules for absentee ballots https://t.co/lEKPlRtod6
10,"RT @LauraLitvan: NEW: GOP Sen Rob Portman of Ohio writes in Cincinnati   Enquirer op-ed that  ""there is no evidence as of now of any widesp…"
11,"RT @99freemind: ElectionGuard - Microsoft.
VotingWorks &amp; Arlo - Soros, Zuckerburg, Bezos, Gates, Google, etc
Dominion - Canada
Scytl - Irel…"
12,RT @WashTimes: Trump campaign takes Pennsylvania election fight to federal appeals court https://t.co/96NN4EKEDE
13,"@Amy_Siskind The Supreme Court will ultimately decide this election. The election isn't even until December 14th. The SC ruled against Gore in 2000 in a 5/4 ruling. When the lower blue courts toss his cases, it's a win for him. With the President's supermajority of 6/3, I'd start worrying now"
14,"RT @ablem1136: https://t.co/CFa7WQlkvf
POR FAVOR, COMPARTE PARA QUE LAS PERSONAS PUEDAN TOMAR CONCIENCIA DE LO QUE REALMENTE ESTÁ ACONTECIE…"
15,"Wait, the election is still going on???"
16,"RT @NPRinskeep: Republicans believed some vague voter fraud cost them PA in their very first presidential election in 1856, a period of fea…"
17,@Cyclemike1Mike @BuzzFoster @DonaldJTrumpJr @KLoeffler @Perduesenate Loeffler stole the election from him. It should have been Collins. Write in Collins.
18,"RT @enelpaisvasco: ¡¡George Soros ARRESTADO en Filadelfia por Interferencia Electoral !!
https://t.co/jLKo7YwKfH"
19,"RT @JennaEllisEsq: 👀👀👀
https://t.co/jhzgcbFLkf"
20,100 Republican national security experts demand GOP admit Trump loss https://t.co/B4IObL53bZ
21,RT @joshdcaplan: BBG: Pennsylvania Republicans sue to block certification of election results
22,RT @jsolomonReports: A dozen compelling allegations of voting irregularities in 2020 election | Just The News https://t.co/8WxZL2dtSK
23,"@chrislhayes This man is doing honest skillful hard decent work to feed us &amp; earn such little money to also feed his family. 
But in America a crooked like Giuliani defending Trump &amp; helping him to steal our election can make $20K per day. 
What this unfairness says about our country?"
24,"RT @HNTurtledove: EITHER

There's a vast conspiracy to steal the election from Trump, involving Germans and Soros anf the ghost of Hugo Cha…"
25,RT @strikewave: BIG DEAL: Union election petition filed at @amazon Fulfillment Center in Alabama by @RWDSU. Potential 1500 workers in the b…
26,"RT @Barnes_Law: Media gaslighting you that ""widespread fraud"" must have occurred to doubt election outcome. That is NOT the legal standard.…"
27,"RT @mmpadellan: Seems to me that when trump said ""if I lose, it's rigged"" it means the election was rigged for Biden votes to flip to trump…"
28,RT @amandacarpenter: Can we acknowledge how pathetic it is we are even in the position where certifying valid election results is an open q…
29,RT @cspan: Michigan Bureau of Elections Board meets to certify the state’s election results - LIVE at 1pm ET on C-SPAN https://t.co/WErGHxc…
30,"RT @newtgingrich: The news media used to defend freedom of speech as essential to maintaining our republic. Now, the idea that conservative…"
31,RT @BrendanKeefe: #BREAKING State Elections Board in Georgia adopts new rule requiring counties to start scanning absentee ballots at least…
32,@JennaEllisEsq @SidneyPowell1 @WSJ Hay what happened to all the election interference? I guess Trump got another problem fixed! Add that to the checked box.
33,"@gtconway3d Is it possible they are trying to circumvent SCOTUS by preventing certification with a monkey-wrench approach, thereby throwing the election to the House?  Or force SCOTUS to intervene at a later stage on a different question more palatable to the Trump bloc on SCOTUS?"
34,Not long until the election for the next mayor of London... not that I’m counting the days or anything 👀 https://t.co/Dh3P8PI0Oq
35,@frustratedwkids @bluestein Good to know. Show trump how much you support him and not the deep state by refusing to participate in this corrupt election! 🙏🏻🇺🇸 God is good
36,"RT @fismaex: ""George Soros Arrested in Philadelphia For Election Interference – Judge Orders Media Blackout:  "" ""https://t.co/df1TgsOayV  """
37,"RT @nysbapresident: Each followed his example by leaving office peacefully, no matter how contentious the election campaign might have been…"
38,"RT @TheRickyDavila: With all of the lies about voter fraud being seditiously spread by MAGA regime to overturn an election, no one talks ab…"
39,RT @BridgeDet313: Certifying Detroit and Michigan election becomes national battle https://t.co/FSVzEZIdXQ https://t.co/aafjM59zm9
40,"RT @GeoffBurgan: BREAKING: Mohave County, a very red Trump county, has just unanimously voted to certify its canvass.

All 15 Arizona count…"
41,RT @MZHemingway: Election Fraud Is Too Important To Be Left To Conspiracy Theorists https://t.co/RAUtFPazPA
42,RT @cspan: Michigan Bureau of Elections Board meets to certify the state’s election results - LIVE at 1pm ET on C-SPAN https://t.co/WErGHxc…
43,Trump news – live: Top ally breaks rank and demands transition as CEOs and defence experts turn on White House #SmartNews  https://t.co/zm26n3EmGZ
44,"Isko koe samja doe kashmir nahi milega Aur na hi congress election jeet payega . 
#PKMKB https://t.co/C7evIjBPW7"
45,RT @WUWMradio: Milwaukee County election officials say the recount is moving slowly because Trump’s attorneys have been constantly interrup…
46,RT @Jeff66923777: The only fraud involved with this election is the fraud @realDonaldTrump has committed by claiming massive voter fraud.…
47,"@johnniemaul @realDonaldTrump @BreitbartNews Our Destroyed Election the Bigger Picture 

Goggle Earth More Evidence of Corruption

1/2 mile outside of each Voting Location Switching Votes Done Remotely
Inside parked trucks or empty homes, apts &amp; warehouse equipped with computer screens Flipping and Changing Votes 
❤🤍💙🇺🇸"
48,"RT @thehill: Cindy McCain: ""The election has happened. Elections have consequences... Biden has won. Biden will be our next President."" htt…"
49,"RT @repmarkpocan: Make no mistake, Donald Trump knows he lost the election.

He just wants to destroy democracy before he leaves office.

A…"
50,"Unos de los titiriteros del mal cayó ante la luz de el mundo. @GiorgioJackson cayo tu padre, envíale una cartita de navidad por viejo podrido. George Soros Arrested in Philadelphia For Election Interference – Judge Orders Media Blackout: https://t.co/XNKGINOmQJ"
51,"RT @WomenforTrump: 🚍🚌All aboard! 🚌🚍

Come join us to support @realDonaldTrump, demand transparency and protect election integrity! 

#Fight…"
52,RT @JRubinBlogger: The problem isn't just Trump or enablers who refuse to stand up to attempted overthrow of an election: They’ve turned te…
53,"RT @ssanneab: 🚨🚨🚨RT EMERGENCY.  If you live in Georgia,  especially if you are an African American woman, CHECK YOUR VOTER REGISTRATION.  T…"
54,Yep it’s the excuse that the snorter will use for max effect when in actual fact they’ve had several years and countless options to get this sorted. Early election in 2021? Defo vote of no confidence in BoJo coming. https://t.co/8hHNQS765Q
55,"RT @nicoleperlroth: @McFaul @RichardGrenell Except, Russia did hack the 2016 election and this should not be news to a former DNI. https://…"
56,"RT @370651856Z: 🚨‼️🇺🇸🇪🇸🇺🇸🇪🇸🇺🇸🇪🇸
George Soros ARRESTADO por interferencia electoral, bajo custodia federal

George Soros ARRESTED for electi…"
57,"@AmyEGardner You can’t match ballots back to envelopes because it’s quite literally impossible, and it’s the law in Georgia to have a “secure” election to protect voter identity after the ballot has been separated."
58,RT @artahermes: George Soros Arrested in Philadelphia For Election Interference – Judge Orders Media Blackout: https://t.co/FWVTOTNZ4l
59,"RT @ssanneab: 🚨🚨🚨RT EMERGENCY.  If you live in Georgia,  especially if you are an African American woman, CHECK YOUR VOTER REGISTRATION.  T…"
60,"RT @DFBHarvard: It's not possible to disagree more with this misguided Trump Hater.

Looking at just the hellacious statistical anomalies o…"
61,RT @realDonaldTrump: The Media is just as corrupt as the Election itself!
62,RT @gilmcgowan: Message to ⁦@jkenney⁩ and ⁦@UCPCaucus⁩: Come the next election “no one is going to worry that the government acted too aggr…
63,RT @CNNnewsroom: “It’s so frustrating to watch this.” Cindy McCain reacts to GOP lawmakers not publicly acknowledging the election results.…
64,"RT @Mmaps_ThePro: EFF will never win an election because it doesn't listen to South Africans. 

South Africa want EFF in power but EFF seem…"
65,"RT @jasonintrator: Right after the election, it was supposedly alarmist fantasy even to suggest that Trump was *trying* to steal the electi…"
66,RT @realDonaldTrump: The Media is just as corrupt as the Election itself!
67,@SANJOSEMAILMAN I hope we see the election certified. I'm so sick of the GOP's traitorous actions.
