,Tweets
0,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
1,"RT @svpino: Here is one of the best resources I've found to learn some of the math behind Machine Learning!

And it's free!

""Introduction…"
2,RT @TDataScience: Generative vs Discriminative Classifiers in Machine Learning by @snr14 https://t.co/FsqrTF8PmY
3,"To get some background on AI in the entertainment industry, we asked some of our clients how they are using or planning to use these technologies in the future to maximize their business profits.

https://t.co/vOk88jqIDh"
4,".#Sensyne’s machine learning model will help Bristol Myers Squibb’s research into disease progression and patient stratification for patients with various rare #blooddiseases. Find out more: https://t.co/Cc8zafchry

#research #BMS #raredisease #SensyneHealth https://t.co/61wB2mzaDw"
5,"RT @okomis: What is Automated #MachineLearning?
https://t.co/IKpun4P1jL

#AutoML #ML #AI #IoT #BigData #ArtificialIntelligence #IoT #DataSc…"
6,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
7,"RT @omarsar0: Python has become extremely popular. I feel that data science and machine learning have a lot to do with it.

Lots of people…"
8,RT @TDataScience: Multiple regression as a machine learning algorithm by Mahbubul Alam https://t.co/cU2auebX9t
9,"RT @PrasoonPratham: Here's what your first 30 days of Machine Learning should look like.

(I wish I had this before)
🧵👇 https://t.co/7LsR7V…"
10,machine learning in Bash
11,RT @indigi2: RT @noikeanolife: Keeping #machinelearning⚙️#algorithms humble and honest in the ‘#ethics⚖️first’ era @TechNative https://t.co…
12,"RT @miouantoinette: [1/11] Recently, I got a question about which machine learning seminars/reading groups are open to the public. I couldn…"
13,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
14,"anaconda 3 για machine learning, python 3 για programming, πολλά φίδια στο technology κι'όλα είναι 3"
15,"RT @iamkarlrock: ""@whitehatjunior claims to teach kids as young as 6-year-olds Artificial Intelligence, Machine Learning, Space Tech. And t…"
16,"RT @betanalpha: It's the weekend so I'm going to rant a little bit about degenerate inferences, why they're so common in machine learning,…"
17,so people have switched from excel macros to Jupiter python to produce HTML output with images and now calling it Machine Learning !
18,RT @TDataScience: All Machine Learning Algorithms You Should Know in 2021  https://t.co/0Yl057FAHu
19,RT @issaaiissa: @omarsar0 What language (besides python) do you think data scientist or machine learning engineer should be experts in now…
20,"RT @BCG: “It’s a roller-coaster ride” says Walmart’s Vice President of Machine Learning, Prakhar Mehrotra, about leading AI teams and works…"
21,"“Rules of Machine Learning” should be a mandatory monthly refresher course. Change my mind 📖

https://t.co/3wy9k51mx3"
22,"RT @karlrohe: Tenure track position at UW Madison Stat Dept!

Applied, theoretical, statistics, data science, machine learning, other, etc…"
23,RT @TDataScience: What ‘no free lunch’ really means in machine learning by Amol Mavuduru https://t.co/1UR2eFgsX7
